"Id";"Type";"Nature";"Caracteristique"
5343;"tête";"chaperon";
5344;"sous vêtement";"chausses";
5345;"sous vêtement";"chausses";
5346;"vêtement";"robe";
5347;"ajusté";"pourpoint";"petit"
5348;"vêtement";"robe";
5349;"sous vêtement";"chausses";
5350;"sous vêtement";"chausses";
5351;"sous vêtement";"chausses";
5352;"vêtement";"robe";"long"
5353;"vêtement";"robe";
5354;"sous vêtement";"chausses";
5355;"vêtement";"robe";
5356;"extérieur";"houpelande";
5357;"sous vêtement";"chausses";
5358;"sous vêtement";"chausses";
5359;"ajusté";"gipon";
5360;"ajusté";"gipon";
5361;"vêtement";"robe";"italienne detranché brodé"
5362;"extérieur";"houpelande";"grand"
5363;"extérieur";"houpelande";
5364;"extérieur";"houpelande";
5365;"extérieur";"houpelande";
5366;"vêtement";"robe";
5367;"vêtement";"robe";
5368;"sous vêtement";"chausses";
5369;"vêtement";"robe";
5370;"sous vêtement";"chausses";
5371;"vêtement";"robe";
5372;"militaire";"gaine d'épée";
5373;"cheval";"garnison de selle";
5374;"sous vêtement";"chausses";
5375;"parure";"bourse";"à argent"
5376;"vêtement";"robe";
5377;"tête";"coiffe";
5378;"parure";"bourse à 3 poches";"à argent"
5379;"vêtement";"robe";"à chevaucher"
5380;"intérieur";"garde corps";
5381;"vêtement";"robe";
5382;"vêtement";"robe";"à devise"
5383;"vêtement";"robe";
5384;"mobilier";"oreiller";
5385;"vêtement";"robe";
5386;"intérieur";"cotte";
5387;"intérieur";"cotte";
5388;"ajusté";"gipon";
5389;"parure";"gant";
5390;"vêtement";"robe";
5391;"vêtement";"robe";
5392;"extérieur";"houpelande";
5393;"tête";"chaperon";
5394;"vêtement";"robe";
5395;"intérieur";"garde corps";
5396;"sous vêtement";"chausses";
5397;"parure";"gant";
5398;"extérieur";"houpelande";
5399;"extérieur";"houpelande";"grand"
5400;"cheval";"garnison";
5401;"vêtement";"robe";
5402;"sous vêtement";"chausses";
5403;"ajusté";"gipon";
5404;"vêtement";"houpelande";
5405;"tête";"chaperon";
5406;"parure";"manche";
5407;"vêtement";"robe";
5408;"vêtement";"robe";
5409;"vêtement";"robe";
5410;"vêtement";"robe";
5411;"vêtement";"robe";
5412;"sous vêtement";"gonelle";
5413;"vêtement";"robe";"brodé faucon"
5414;"vêtement";"robe";"grand"
5415;"vêtement";"robe";"brodé de noeud"
5416;"vêtement";"habit";
5417;"vêtement";"robe";
5418;"parure";"manche";
5419;"tête";"chaperon";
5420;"extérieur";"houpelande";
5421;"sous vêtement";"futaine";
5422;"vêtement";"robe";
5423;"extérieur";"houpelande";
5424;"tête";"chaperon";
5425;"parure";"manche";
5426;"vêtement";"garnement";
5427;"sous vêtement";"gonelle";
5428;"vêtement";"garnement";
5429;"vêtement";"garnement";
5430;"vêtement";"garnement";
5431;"autre";"emballage";
5432;"intérieur";"cotte";
5433;"extérieur";"mantel";
5434;"ouvrage";"inconnue";
5435;"parure";"aiguillette";
5436;"vêtement";"corps";
5437;"ouvrage";"inconnue";
5438;"vêtement";"robe";"freppé"
5439;"tête";"chaperon";"freppé"
5440;"vêtement";"robe";
5441;"vêtement";"robe";
5442;"sous vêtement";"chausses";
5443;"vêtement";"robe";
5444;"vêtement";"robe";
5445;"sous vêtement";"chausses";
