"compteFab";"numFab";"IdFab";"compteMP";"numMP";"IdMP";"TypeMesure";"Quantite";"Unite";"provenance_mesure";"Conversion";"usage"
"1MI33, r. 9, 31";887;743;"1MI33, r. 9, 31";887;855;"longueur";;"aune";;;
"1MI33, r. 9, 31";887;744;"1MI33, r. 9, 31";887;856;"longueur";;"aune des grandes";;;
"1MI33, r. 9, 31";887;745;"1MI33, r. 9, 31";887;856;"longueur";;"aune";;;
"1MI33, r. 9, 31";887;746;"1MI33, r. 9, 31";887;857;"longueur";2,75;"aune";;;
"1MI33, r. 9, 31";891;747;"1MI33, r. 9, 31";891;861;"longueur";2,75;"aune des grandes";;;
"1MI33, r. 9, 31";893;748;"1MI33, r. 9, 31";893;863;"longueur";;"aune des grandes";;;
"1MI33, r. 9, 31";893;749;"1MI33, r. 9, 31";893;863;"longueur";;"aune des grandes";;;
"1MI33, r. 9, 31";895;750;"1MI33, r. 9, 31";895;865;"longueur";6,00;"aune";;;
"1MI33, r. 9, 31";896;751;"1MI33, r. 9, 31";896;866;"longueur";1,50;"aune des grandes";;;
"1MI33, r. 9, 31";897;752;"1MI33, r. 9, 31";897;867;"longueur";;"aune";;;
"1MI33, r. 9, 31";897;753;"1MI33, r. 9, 31";897;867;"longueur";;"aune";;;
"1MI33, r. 9, 31";897;754;"1MI33, r. 9, 31";897;867;"longueur";;"aune";;;
"1MI33, r. 9, 31";897;755;"1MI33, r. 9, 31";897;867;"longueur";;"aune";;;
"1MI33, r. 9, 31";897;756;"1MI33, r. 9, 31";897;867;"longueur";;"aune";;;
"1MI33, r. 9, 31";897;757;"1MI33, r. 9, 31";897;868;"longueur";;"aune";;;
"1MI33, r. 9, 31";897;758;"1MI33, r. 9, 31";897;868;"longueur";;"aune";;;
"1MI33, r. 9, 31";897;759;"1MI33, r. 9, 31";897;868;"longueur";;"aune";;;
"1MI33, r. 9, 31";897;760;"1MI33, r. 9, 31";897;868;"longueur";;"aune";;;
"1MI33, r. 9, 31";898;761;"1MI33, r. 9, 31";898;869;"longueur";3,00;"aune";;;
"1MI33, r. 9, 31";899;762;"1MI33, r. 9, 31";899;870;"longueur";;"aune";;;
"1MI33, r. 9, 31";899;763;"1MI33, r. 9, 31";899;870;"longueur";;"aune";;;
"1MI33, r. 9, 31";900;764;"1MI33, r. 9, 31";900;871;"longueur";;"aune des grandes";;;
"1MI33, r. 9, 31";900;765;"1MI33, r. 9, 31";900;871;"longueur";;"aune des grandes";;;
"1MI33, r. 9, 31";902;766;"1MI33, r. 9, 31";902;873;"longueur";;"aune";;;
"1MI33, r. 9, 31";903;767;"1MI33, r. 9, 31";903;874;"longueur";;"aune";;;
"1MI33, r. 9, 31";903;768;"1MI33, r. 9, 31";903;874;"longueur";;"aune";;;
"1MI33, r. 9, 31";904;769;"1MI33, r. 9, 31";904;875;"longueur";10,00;"aune des grandes";;;
"1MI33, r. 9, 31";905;770;"1MI33, r. 9, 31";905;876;"longueur";18,50;"aune";;;
"1MI33, r. 9, 31";906;771;"1MI33, r. 9, 31";906;877;"longueur";;"aune";;;
"1MI33, r. 9, 31";906;771;"1MI33, r. 9, 31";906;878;"longueur";;"aune";;;
"1MI33, r. 9, 31";906;772;"1MI33, r. 9, 31";906;877;"longueur";;"aune";;;
"1MI33, r. 9, 31";906;772;"1MI33, r. 9, 31";906;878;"longueur";;"aune";;;
"1MI33, r. 9, 31";906;773;"1MI33, r. 9, 31";906;877;"longueur";;"aune";;;
"1MI33, r. 9, 31";906;773;"1MI33, r. 9, 31";906;878;"longueur";;"aune";;;
"1MI33, r. 9, 31";908;774;"1MI33, r. 9, 31";908;880;"longueur";;"aune";;;
"1MI33, r. 9, 31";916;775;"1MI33, r. 9, 31";916;888;"longueur";;"aune";;;
"1MI33, r. 9, 31";917;776;"1MI33, r. 9, 31";917;889;"longueur";;"aune";;;
"1MI33, r. 9, 31";918;777;"1MI33, r. 9, 31";918;890;"longueur";;"aune";;;
"1MI33, r. 9, 31";920;779;"1MI33, r. 9, 31";920;892;"longueur";;"aune";;;
"1MI33, r. 9, 31";921;780;"1MI33, r. 9, 31";921;893;"longueur";2,25;"aune";;;
"1MI33, r. 9, 31";921;781;"1MI33, r. 9, 31";921;894;"longueur";4,00;"aune";;;
"1MI33, r. 9, 31";922;782;"1MI33, r. 9, 31";922;897;"longueur";;"aune";;;
"1MI33, r. 9, 31";922;782;"1MI33, r. 9, 31";922;898;"longueur";;"aune";;;
"1MI33, r. 9, 31";922;783;"1MI33, r. 9, 31";922;897;"longueur";;"aune";;;
"1MI33, r. 9, 31";922;783;"1MI33, r. 9, 31";922;898;"longueur";;"aune";;;
"1MI33, r. 9, 31";922;784;"1MI33, r. 9, 31";922;897;"longueur";;"aune";;;
"1MI33, r. 9, 31";922;784;"1MI33, r. 9, 31";922;898;"longueur";;"aune";;;
"1MI33, r. 9, 31";923;785;"1MI33, r. 9, 31";923;899;"longueur";2,33;"aune";;;
"1MI33, r. 9, 31";925;786;"1MI33, r. 9, 31";925;900;"longueur";;"aune";;;
"1MI33, r. 9, 31";925;787;"1MI33, r. 9, 31";925;900;"longueur";;"aune";;;
"1MI33, r. 9, 31";925;788;"1MI33, r. 9, 31";925;900;"longueur";;"aune";;;
"1MI33, r. 9, 31";926;789;"1MI33, r. 9, 31";926;901;"longueur";5,00;"aune";;;
"1MI33, r. 9, 31";927;790;"1MI33, r. 9, 31";927;902;"longueur";;"aune";;;
"1MI33, r. 9, 31";928;791;"1MI33, r. 9, 31";927;902;"longueur";;"aune";;;
"1MI33, r. 9, 31";929;792;"1MI33, r. 9, 31";929;903;"longueur";1,25;"aune";;;
"1MI33, r. 9, 31";930;793;"1MI33, r. 9, 31";930;904;"longueur";3,00;"aune";;;
"1MI33, r. 9, 31";931;794;"1MI33, r. 9, 31";931;905;"longueur";;"aune";;;
"1MI33, r. 9, 31";931;795;"1MI33, r. 9, 31";931;905;"longueur";;"aune";;;
"1MI33, r. 9, 31";932;804;"1MI33, r. 9, 31";932;915;"longueur";10,00;"aune";;;
"1MI33, r. 9, 31";932;804;"1MI33, r. 9, 31";932;916;"longueur";11,00;"aune";;;
"1MI33, r. 9, 31";933;796;"1MI33, r. 9, 31";933;906;"longueur";5,00;"aune des grandes";;;
"1MI33, r. 9, 31";934;797;"1MI33, r. 9, 31";934;907;"longueur";2,00;"aune";;;
"1MI33, r. 9, 31";935;798;"1MI33, r. 9, 31";935;908;"longueur";4,50;"aune";;;
"1MI33, r. 9, 31";935;799;"1MI33, r. 9, 31";935;909;"longueur";;"aune";;;
"1MI33, r. 9, 31";935;800;"1MI33, r. 9, 31";935;909;"longueur";;"aune";;;
"1MI33, r. 9, 31";936;801;"1MI33, r. 9, 31";936;910;"longueur";;"aune";;;
"1MI33, r. 9, 31";937;802;"1MI33, r. 9, 31";937;911;"longueur";4,33;"aune";;;
"1MI33, r. 9, 31";939;803;"1MI33, r. 9, 31";939;913;"longueur";2,00;"aune";;;
"1MI33, r. 9, 31";939;803;"1MI33, r. 9, 31";939;914;"longueur";2,50;"aune";;;
"1MI33, r. 9, 31";940;805;"1MI33, r. 9, 31";940;917;"longueur";;"aune";;;
"1MI33, r. 9, 31";942;806;"1MI33, r. 9, 31";942;918;"longueur";;"aune";;;
"1MI33, r. 9, 31";943;807;"1MI33, r. 9, 31";943;919;"longueur";2,50;"aune";;;
"1MI33, r. 9, 31";944;808;"1MI33, r. 9, 31";944;920;"longueur";4,50;"aune";;;
"1MI33, r. 9, 31";945;809;"1MI33, r. 9, 31";945;921;"longueur";3,50;"aune";;;
"1MI33, r. 9, 31";945;809;"1MI33, r. 9, 31";945;922;"longueur";3,00;"aune";;;
"1MI33, r. 9, 31";952;810;"1MI33, r. 9, 31";952;928;"longueur";;"aune";;;
"1MI33, r. 9, 31";953;811;"1MI33, r. 9, 31";953;929;"longueur";0,66;"aune";;;
"1MI33, r. 9, 31";955;813;"1MI33, r. 9, 31";955;930;"longueur";25,00;"aune";;;
"1MI33, r. 9, 31";955;813;"1MI33, r. 9, 31";955;931;"longueur";29,00;"aune";;;
"1MI33, r. 9, 31";978;814;"1MI33, r. 9, 31";978;987;"longueur";8,00;"aune";;;
"1MI33, r. 9, 31";979;815;"1MI33, r. 9, 31";979;988;"longueur";3,75;"aune";;;
"1MI33, r. 9, 31";986;816;"1MI33, r. 9, 31";986;994;"longueur";;"aune";;;
"1MI33, r.12 et r.13, 34";1138;887;"1MI33, r.12 et r.13, 34";1138;1141;"longueur";1,00;"pièce";;;
"1MI33, r.12 et r.13, 34";1154;893;"1MI33, r.12 et r.13, 34";1154;1153;"longueur";2,00;"aune";;;
"1MI33, r.12 et r.13, 34";1156;894;"1MI33, r.12 et r.13, 34";1156;1155;"longueur";5,00;"aune des grandes";;;
"1MI33, r.12 et r.13, 34";1160;897;"1MI33, r.12 et r.13, 34";1160;1157;"longueur";;"aune";;;
"1MI33, r.12 et r.13, 34";1160;897;"1MI33, r.12 et r.13, 34";1160;1158;"longueur";;"aune";;;
"1MI33, r.12 et r.13, 34";1160;898;"1MI33, r.12 et r.13, 34";1160;1157;"longueur";;"aune";;;
"1MI33, r.12 et r.13, 34";1160;898;"1MI33, r.12 et r.13, 34";1160;1158;"longueur";;"aune";;;
"1MI33, r.12 et r.13, 34";1161;899;"1MI33, r.12 et r.13, 34";1161;1159;"longueur";;"aune des grandes";;;
"1MI33, r.12 et r.13, 34";1161;900;"1MI33, r.12 et r.13, 34";1161;1159;"longueur";;"aune des grandes";;;
"1MI33, r.12 et r.13, 34";1161;901;"1MI33, r.12 et r.13, 34";1161;1160;"longueur";12,00;"aune des grandes";;;
"1MI33, r.12 et r.13, 34";1162;902;"1MI33, r.12 et r.13, 34";1162;1161;"longueur";4,00;"aune";;;
"1MI33, r.12 et r.13, 34";1163;903;"1MI33, r.12 et r.13, 34";1163;1162;"longueur";5,00;"aune";;;
"1MI33, r.12 et r.13, 34";1165;904;"1MI33, r.12 et r.13, 34";1165;1164;"longueur";13,00;"aune des grandes";;;
"1MI33, r.12 et r.13, 34";1169;905;"1MI33, r.12 et r.13, 34";1169;1168;"longueur";2,50;"aune";;;
"1MI33, r.12 et r.13, 34";1173;906;"1MI33, r.12 et r.13, 34";1173;1169;"longueur";18,00;"aune";;;
"1MI33, r.12 et r.13, 34";1174;907;"1MI33, r.12 et r.13, 34";1174;1170;"longueur";0,75;"aune";;;
"1MI33, r.12 et r.13, 34";1175;908;"1MI33, r.12 et r.13, 34";1175;1171;"longueur";;"aune";;;
"1MI33, r.12 et r.13, 34";1175;909;"1MI33, r.12 et r.13, 34";1175;1171;"longueur";;"aune";;;
"1MI33, r.12 et r.13, 34";1175;910;"1MI33, r.12 et r.13, 34";1175;1171;"longueur";;"aune";;;
"1MI33, r.12 et r.13, 34";1177;911;"1MI33, r.12 et r.13, 34";1177;1173;"poids";4,50;"once";;;
"1MI33, r.12 et r.13, 34";1177;911;"1MI33, r.12 et r.13, 34";1177;1174;"longueur";12,00;"aune";;;
"1MI33, r.12 et r.13, 34";1179;912;"1MI33, r.12 et r.13, 34";1179;1177;"longueur";7,00;"aune des grandes";;;
"1MI33, r.12 et r.13, 34";1180;913;"1MI33, r.12 et r.13, 34";1180;1178;"longueur";1,50;"aune";;;
"1MI33, r.12 et r.13, 34";1186;916;"1MI33, r.12 et r.13, 34";1186;1184;"longueur";6,25;"aune";;;
"1MI33, r.12 et r.13, 34";1197;917;"1MI33, r.12 et r.13, 34";1197;1186;"longueur";2,00;"aune";;;
"1MI33, r.12 et r.13, 34";1198;918;"1MI33, r.12 et r.13, 34";1198;1188;"poids";7,00;"huitain";;;
"1MI33, r.12 et r.13, 34";1199;919;"1MI33, r.12 et r.13, 34";1199;1189;"longueur";3,00;"aune";;;
"1MI33, r.12 et r.13, 34";1202;920;"1MI33, r.12 et r.13, 34";1202;1192;"longueur";125,00;"aune";;;
"1MI33, r.12 et r.13, 34";1202;920;"1MI33, r.12 et r.13, 34";1203;1193;"longueur";21,12;"aune";;;
"1MI33, r.12 et r.13, 34";1204;922;"1MI33, r.12 et r.13, 34";1204;1194;"longueur";23,25;"aune";;;
"1MI33, r.12 et r.13, 34";1204;922;"1MI33, r.12 et r.13, 34";1204;1195;"longueur";23,25;"aune";;;
"1MI33, r.12 et r.13, 34";1204;922;"1MI33, r.12 et r.13, 34";1205;1196;"longueur";79,00;"aune";;;
"1MI33, r.12 et r.13, 34";1204;922;"1MI33, r.12 et r.13, 34";1206;1197;"longueur";30,00;"aune";;;
"1MI33, r.12 et r.13, 34";1204;922;"1MI33, r.12 et r.13, 34";1207;1198;"poids";2,00;"livre";;;
"1MI33, r.12 et r.13, 34";1204;922;"1MI33, r.12 et r.13, 34";1207;1199;"poids";1,00;"once";;;
"1MI33, r.12 et r.13, 34";1204;922;"1MI33, r.12 et r.13, 34";1207;1200;"poids";1,00;"livre";;;
"1MI33, r.12 et r.13, 34";1212;923;"1MI33, r.12 et r.13, 34";1212;1205;"longueur";4,00;"aune";;;
"1MI33, r.12 et r.13, 34";1212;923;"1MI33, r.12 et r.13, 34";1212;1206;"longueur";8,00;"aune";;;
"1MI33, r.12 et r.13, 34";1212;923;"1MI33, r.12 et r.13, 34";1212;1207;"poids";0,90;"livre";;;
"1MI33, r.12 et r.13, 34";1212;923;"1MI33, r.12 et r.13, 34";1212;1208;"poids";2,50;"once";;;
