"Parure";"Materiaux";"TypeMesure";"Quantite";"Unite";"provenance_mesure";"Conversion";"Materiaux_Achete";"usage"
7112;9749;"longueur";;"aune";;;0;
7113;9750;"longueur";;"aune";;;0;
7118;9752;"longueur";;"aune";;;0;
7119;9751;"longueur";;"aune";;;0;
7120;9753;"longueur";;"aune";;;0;
7121;9754;"longueur";;"aune";;;0;
7124;9755;"longueur";;"aune";;;0;
7124;9756;"longueur";;"aune";;;0;"doublure"
7152;9797;"longueur";;"aune";;;0;
7152;9798;"longueur";;"aune";;;0;
7154;9803;"longueur";;"aune";;;0;
7155;9804;"longueur";;"aune";;;0;
7156;9805;"longueur";6,50;"aune";;;0;
7156;9806;"longueur";2,00;"aune";;;0;
7168;9813;"longueur";;"aune";;;0;
7169;9815;"longueur";;"aune";;;0;
7169;9816;"longueur";;"aune";;;0;"doublure"
7170;9817;"longueur";;"aune";;;0;
7171;9818;"longueur";;"aune";;;0;
7172;9820;"longueur";;"aune";;;0;
7172;9821;"longueur";;"aune";;;0;"doublure"
7173;9822;"longueur";;"aune";;;0;
7173;9823;"longueur";;"aune";;;0;"doublure"
7174;9824;"longueur";;"aune";;;0;
7175;9825;"longueur";;"aune";;;0;
7175;9826;"longueur";;"aune";;;0;"doublure"
7176;9827;"longueur";;"aune";;;0;
7176;9828;"longueur";;"aune";;;0;"doublure"
7177;9829;"longueur";;"aune";;;0;
7177;9830;"longueur";;"aune";;;0;"doublure"
7178;9831;"longueur";;"aune";;;0;
7178;9832;"longueur";;"aune";;;0;"doublure"
7179;9833;"longueur";;"aune";;;0;
7194;9857;"longueur";;"aune";;;0;
7195;9858;"longueur";;"aune";;;0;
7197;9861;"longueur";;"aune";;;0;"doublure"
7198;9862;"longueur";;"aune";;;0;
7198;9863;"longueur";;"aune";;;0;"doublure"
7199;9865;"longueur";;"aune";;;0;
7210;9876;"longueur";;"aune";;;0;
7211;9881;"longueur";;"aune";;;0;
7218;9886;"longueur";;"aune";;;0;
7219;9887;"longueur";;"aune";;;0;
7226;9905;"longueur";;"aune";;;0;
7232;9910;"pelleterie";;"fourrure";;;0;
7232;9911;"pelleterie";;"fourrure";;;0;"doublure de manche"
7233;9912;"longueur";;"aune";;;0;
7241;9935;"longueur";;"aune";;;0;
7242;9936;"longueur";;"aune";;;0;
7259;9946;"longueur";;"aune";;;0;
7260;9948;"longueur";;"aune";;;0;
7261;9952;"longueur";;"aune";;;0;
7262;9956;"longueur";;"aune";;;0;
7263;9957;"longueur";;"aune";;;0;
7264;9958;"longueur";;"aune";;;0;
7265;9959;"longueur";;"aune";;;0;
7266;9960;"longueur";;"aune";;;0;
7267;9961;"longueur";;"aune";;;0;
7268;9962;"longueur";;"aune";;;0;
7269;9963;"longueur";;"aune";;;0;
7269;9964;"longueur";;"aune";;;0;"doublure"
7270;9965;"longueur";;"aune";;;0;
7270;9966;"longueur";;"aune";;;0;"doublure"
7289;9983;"longueur";;"aune";;;0;
7289;9984;"longueur";;"aune";;;0;"doublure"
7299;9991;"longueur";;"aune";;;0;
7332;10022;"longueur";;"aune";;;0;
7335;10026;"longueur";;"aune";;;0;
7341;10031;"longueur";;"aune";;;0;
7342;10032;"longueur";;"aune";;;0;
7343;10033;"longueur";;"aune";;;0;
7344;10034;"longueur";;"aune";;;0;
7345;10035;"longueur";;"aune";;;0;
7356;10045;"longueur";;"aune";;;0;
7389;10067;"longueur";;"aune";;;0;
7392;10069;"longueur";;"aune";;;0;
7401;10073;"longueur";;"aune";;;0;
7418;10110;"longueur";;"aune";;;0;
7428;10140;"longueur";;"aune";;;0;
7440;10150;"longueur";;"aune";;;0;
7443;10152;"longueur";;"aune";;;0;
7444;10154;"longueur";;"aune";;;0;
7445;10156;"longueur";;"aune";;;0;
7445;10157;"longueur";;"aune";;;0;"doublure"
7446;10158;"longueur";;"aune";;;0;
7447;10159;"longueur";;"aune";;;0;
7448;10160;"longueur";;"aune";;;0;
7449;10161;"longueur";;"aune";;;0;
7450;10162;"longueur";;"aune";;;0;
7451;10163;"longueur";;"aune";;;0;
7452;10164;"longueur";;"aune";;;0;
7453;10165;"longueur";;"aune";;;0;
7454;10166;"longueur";;"aune";;;0;
7457;10170;"longueur";;"aune";;;0;
7458;10171;"longueur";;"aune";;;0;
7460;10174;"longueur";;"aune";;;0;
7461;10177;"longueur";;"aune";;;0;
7461;10178;"longueur";;"aune";;;0;"doublure"
7462;10180;"longueur";;"aune";;;0;
7493;10198;"longueur";;"aune";;;0;
7495;10204;"longueur";;"aune";;;0;"doublure"
7497;10207;"longueur";;"aune";;;0;
7500;10214;"longueur";;"aune";;;0;
7501;10215;"longueur";;"aune";;;0;
7507;10221;"longueur";;"aune";;;0;
7508;10222;"longueur";;"aune";;;0;
7509;10225;"longueur";;"aune";;;0;
7515;10226;"longueur";;"aune";;;0;
7517;10229;"longueur";;"aune";;;0;
7552;10298;"longueur";;"aune";;;0;
7553;10299;"longueur";;"aune";;;0;
7556;10300;"longueur";;"aune";;;0;
7559;10302;"longueur";;"aune";;;0;
7563;10310;"longueur";;"aune";;;0;
7572;10322;"longueur";;"aune";;;0;
7573;10323;"longueur";;"aune";;;0;
7574;10324;"longueur";;"aune";;;0;
7575;10325;"longueur";;"aune";;;0;
7575;10326;"longueur";;"aune";;;0;"doublure"
7578;10331;"longueur";;"aune";;;0;
7579;10332;"longueur";;"aune";;;0;
7580;10334;"longueur";;"aune";;;0;
7585;10340;"longueur";;"aune";;;0;
7597;10363;"longueur";;"aune";;;0;
7607;10406;"longueur";;"aune";;;0;
7608;10407;"longueur";;"aune";;;0;
7609;10408;"longueur";;"aune";;;0;
7611;10410;"longueur";;"aune";;;0;
7618;10423;"longueur";;"aune";;;0;
7620;10427;"longueur";;"aune";;;0;
7621;10429;"longueur";;"aune";;;0;
7622;10430;"longueur";;"aune";;;0;
7624;10433;"longueur";;"aune";;;0;
7625;10434;"longueur";;"aune";;;0;
7627;10436;"longueur";;"aune";;;0;
7629;10442;"longueur";;"aune";;;0;
7632;10444;"longueur";;"aune";;;0;
7633;10445;"longueur";;"aune";;;0;
7636;10457;"longueur";;"aune";;;0;
7638;10463;"longueur";;"aune";;;0;
7639;10464;"longueur";;"aune";;;0;
7640;10465;"longueur";;"aune";;;0;
7642;10472;"longueur";;"aune";;;0;
7643;10475;"longueur";;"aune";;;0;
7646;10477;"longueur";;"aune";;;0;
7647;10478;"longueur";;"aune";;;0;
7653;10489;"longueur";;"aune";;;0;
7658;10502;"longueur";;"aune";;;0;
7659;10503;"longueur";;"aune";;;0;
7660;10504;"longueur";;"aune";;;0;
7660;10505;"longueur";;"aune";;;0;"doublure"
7661;10506;"longueur";;"aune";;;0;
7662;10507;"longueur";;"aune";;;0;
7669;10514;"longueur";;"aune";;;0;
7670;10515;"longueur";;"aune";;;0;
7671;10516;"longueur";;"aune";;;0;
7673;10517;"longueur";;"aune";;;0;
7677;10518;"longueur";;"aune";;;0;
7682;10519;"longueur";;"aune";;;0;
7686;10520;"longueur";;"aune";;;0;
7689;10521;"longueur";;"aune";;;0;
7693;10522;"longueur";;"aune";;;0;
7697;10523;"longueur";;"aune";;;0;
7701;10524;"longueur";;"aune";;;0;
7705;10525;"longueur";;"aune";;;0;
7706;10526;"longueur";;"aune";;;0;
7707;10527;"longueur";;"aune";;;0;
7711;10528;"longueur";;"aune";;;0;
7712;10529;"longueur";;"aune";;;0;
7717;10535;"longueur";;"aune";;;0;
7718;10536;"longueur";;"aune";;;0;
7750;10568;"longueur";;"aune";;;0;
7759;10580;"longueur";;"aune";;;0;
7764;10588;"longueur";;"aune";;;0;
7772;10593;"longueur";;"aune";;;0;"doublure"
7775;10594;"longueur";;"aune";;;0;
7776;10596;"longueur";;"aune";;;0;
7787;10621;"longueur";;"aune";;;0;
7788;10623;"longueur";;"aune";;;0;
7789;10625;"longueur";;"aune";;;0;
7799;10641;"longueur";;"aune";;;0;
7799;10642;"longueur";;"aune";;;0;"doublure de corps"
7800;10644;"longueur";;"aune";;;0;
7801;10645;"longueur";;"aune";;;0;
7802;10646;"longueur";;"aune";;;0;
7808;10656;"longueur";;"aune";;;0;
7809;10657;"longueur";;"aune";;;0;
7810;10658;"longueur";;"aune";;;0;
7810;10659;"longueur";;"aune";;;0;"doublure"
7818;10672;"longueur";;"aune";;;0;
7819;10673;"longueur";;"aune";;;0;
7825;10679;"longueur";;"aune";;;0;
7826;10680;"longueur";;"aune";;;0;
7830;10690;"longueur";;"aune";;;0;
7839;10710;"longueur";;"aune";;;0;
7840;10714;"longueur";;"aune";;;0;
7841;10716;"longueur";;"aune";;;0;
7842;10718;"longueur";;"aune";;;0;
7853;10728;"longueur";;"aune";;;0;
7854;10729;"longueur";;"aune";;;0;
7855;10730;"longueur";;"aune";;;0;
7855;10731;"pelleterie";;"gorge";;;0;"doublure"
7856;10732;"longueur";;"aune";;;0;
7860;10740;"longueur";;"aune";;;0;
7861;10741;"longueur";;"aune";;;0;
7862;10742;"longueur";;"aune";;;0;
7864;10743;"longueur";;"aune";;;0;
7866;10744;"longueur";;"aune";;;0;
7867;10745;"longueur";;"aune";;;0;
7867;10746;"longueur";;"aune";;;0;"doublure de manche"
7868;10747;"longueur";;"aune";;;0;
7869;10748;"longueur";;"aune";;;0;
7870;10749;"longueur";;"aune";;;0;
7874;10759;"longueur";;"aune";;;0;
7875;10760;"longueur";;"aune";;;0;
7876;10761;"longueur";;"aune";;;0;
7878;10762;"longueur";;"aune";;;0;
7879;10763;"longueur";;"aune";;;0;
7880;10764;"longueur";;"aune";;;0;
7881;10765;"longueur";;"aune";;;0;
7882;10766;"longueur";;"aune";;;0;
7883;10767;"longueur";;"aune";;;0;
7884;10768;"longueur";;"aune";;;0;
7885;10769;"longueur";;"aune";;;0;
7886;10770;"longueur";;"aune";;;0;
7887;10771;"longueur";;"aune";;;0;
7888;10772;"longueur";;"aune";;;0;
7889;10773;"longueur";;"aune";;;0;
7890;10774;"longueur";;"aune";;;0;
7891;10775;"longueur";;"aune";;;0;
7891;10776;"longueur";;"aune";;;0;
7896;10781;"longueur";;"aune";;;0;
7897;10782;"longueur";;"aune";;;0;
7898;10783;"longueur";;"aune";;;0;
7899;10784;"longueur";;"aune";;;0;
7900;10785;"longueur";;"aune";;;0;
7901;10786;"longueur";;"aune";;;0;
7903;10788;"longueur";;"aune";;;0;
7905;10789;"longueur";;"aune";;;0;
7906;10790;"longueur";;"aune";;;0;"doublure"
7907;10791;"longueur";;"aune";;;0;
7908;10792;"longueur";;"aune";;;0;
7910;10793;"longueur";;"aune";;;0;
7911;10794;"longueur";;"aune";;;0;
7912;10795;"longueur";;"aune";;;0;
7913;10796;"longueur";;"aune";;;0;
7913;10797;"longueur";;"aune";;;0;
7914;10798;"longueur";;"aune";;;0;
7916;10799;"longueur";;"aune";;;0;
7917;10800;"longueur";;"aune";;;0;
7918;10801;"longueur";;"aune";;;0;
7919;10802;"longueur";;"aune";;;0;
7920;10803;"longueur";;"aune";;;0;
7921;10804;"longueur";;"aune";;;0;
7922;10805;"longueur";;"aune";;;0;
7924;10807;"longueur";;"aune";;;0;
7926;10808;"longueur";;"aune";;;0;
7948;10817;"longueur";;"aune";;;0;
7953;10820;"longueur";;"aune";;;0;
7963;10832;"longueur";;"aune";;;0;
7964;10835;"longueur";;"aune";;;0;
7965;10836;"longueur";;"aune";;;0;
7965;10837;"longueur";;"aune";;;0;"doublure"
7967;10839;"longueur";;"aune";;;0;
7976;10844;"longueur";;"aune";;;0;
7977;10848;"longueur";;"aune";;;0;
7980;10851;"longueur";;"aune";;;0;
7999;10920;"pelleterie";;"bête";;;0;"doublure"
8003;10927;"longueur";;"aune";;;0;
8003;10928;"pelleterie";;"bête";;;0;"doublure"
8003;10929;"pelleterie";;"penne";;;0;"doublure de manche"
8004;10932;"longueur";;"aune";;;0;
8004;10933;"pelleterie";;"penne";;;0;"doublure de manche"
8008;10934;"longueur";;"aune";;;0;
8009;10935;"longueur";;"aune";;;0;
8029;10959;"longueur";;"aune";;;0;
8030;10961;"longueur";;"aune";;;0;
8046;10971;"longueur";;"aune";;;0;
8071;11005;"longueur";;"aune";;;0;
8074;11008;"longueur";;"aune";;;0;
8130;11082;"longueur";;"aune";;;0;
8133;11089;"longueur";;"aune";;;0;
8145;11102;"longueur";;"aune";;;0;
8153;11110;"longueur";;"aune";;;0;
8188;11167;"longueur";;"aune";;;0;
8189;11168;"longueur";;"aune";;;0;"doublure"
