"Id";"Type";"Famille";"Nom";"Couleur";"CaracCouleur";"CaracFacture";"Ville";"Region"
1792;"E";"toile";"mantil";;;;;
1793;"E";"toile";"toile";;;;;
1794;"E";"toile";"toile";;;;;
1795;"E";"toile";"toile";"blanc";;;;
1796;"E";"toile";"toile";;;;;
1797;"E";"toile";"toile";"blanc";;;"Reims";"Champagne"
1798;"E";"mélangé";"futaine";;;;;
1799;"E";"toile";"toile";"blanc";;;"Reims";"Champagne"
1800;"E";"laine";"tanné";"tanné";;;;
1801;"M";"NA";"fil";;;;;
1802;"E";"soie";"soie";;;"fin";;
1803;"F";"NA";"létice";;;;;
1804;"E";"laine";"brunette";"noir";;;"Bruxelles";"Brabant"
1805;"E";"laine";"pers";"pers";;;"Bruxelles";"Brabant"
1806;"E";"laine";"vert";"vert";;"brodé";;
1807;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
1808;"E";"laine";"vert";"vert";;"brodé";;
1809;"E";"laine";"morée";"morée";;;"Bruxelles";"Brabant"
1810;"E";"laine";"nay";;;;"Louvain";"Brabant"
1811;"E";"soie";"velours";"vert";;;;
1812;"E";"toile";"toile";"blanc";;;;
1813;"E";"toile";"toile";"vermeil";;;;
1814;"M";"NA";"coton";;;;;
1815;"M";"soie";"soie";;;;;
1816;"E";"laine";"tanné";"tanné";;;"Bruxelles";"Brabant"
1817;"E";"laine";"morée";"morée";;;"Bruxelles";"Brabant"
1818;"E";"laine";"pers";"pers";;;"Bruxelles";"Brabant"
1819;"E";"laine";"gris";"gris";;;"Bruxelles";"Brabant"
1820;"F";"NA";"renard";;;;;
1821;"E";"soie";"soie";;;;;
1822;"E";"soie";"soie";;;;;
1823;"E";"toile";"toile";;;;;
1824;"E";"soie";"soie";;;;;
1825;"M";"NA";"coton";;;;;
1826;"M";"NA";"fil";;;;;
1827;"E";"mélangé";"futaine";;;;;
1828;"E";"laine";"morée";"morée";;;"Bruxelles";"Brabant"
1829;"M";"laine";"ruban";"or";;;;
1830;"E";"laine";"drap";;;;;
1831;"E";"laine";"drap";;;;;
1832;"E";"laine";"drap";;;;;
1833;"E";"laine";"drap";;;;;
1834;"E";"laine";"drap";;;;;
1835;"E";"laine";"drap";;;;;
1836;"E";"laine";"drap";;;;;
1837;"F";"NA";"agneau";"blanc";;;;
1838;"E";"laine";"rose";"graine";;;"Bruxelles";"Brabant"
1839;"E";"laine";"écarlate";;;;"Bruxelles";"Brabant"
1840;"F";"NA";"menu vair";;;;;
1841;"F";"NA";"menu vair";;;;;
1842;"E";"laine";"nay";;;;;
1843;"E";"laine";"rayé";"rayé";;;;
1844;"E";"laine";"pers";"pers";;;"Bruxelles";"Brabant"
1845;"M";"NA";"coton";;;;;
1846;"M";"soie";"soie";;;;;
1847;"E";"toile";"toile";;;;;
1848;"E";"laine";"drap";;;;"Bruxelles";"Brabant"
1849;"E";"laine";"blanc";"blanc";;;;
1850;"F";"NA";"menu vair";;;;;
1851;"M";"soie";"ruban";"or";;;;
1852;"E";"laine";"pers";"pers";;;"Bruxelles";"Brabant"
1853;"E";"toile";"toile";;;"prime";"Reims";"Champagne"
1854;"E";"toile";"toile";;;;"Reims";"Champagne"
1855;"E";"toile";"toile";;;"tende";;
1856;"E";"mélangé";"futaine";;;;;
1857;"E";"soie";"soie";;;;;
1858;"M";"NA";"coton";;;;;
1859;"M";"NA";"fil";;;;;
1860;"M";"laine";"tresse";"noir";;;;
1861;"E";"laine";"drap";;;;;
1862;"E";"laine";"écarlate";"morée";;;;
1863;"E";"laine";"pers";"pers";;;"Bruxelles";"Brabant"
1864;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
1865;"M";"soie";"soie";;;;;
1866;"E";"toile";"toile";;;;;
1867;"M";"NA";"fil";;;;;
1868;"M";"NA";"fil";;;;;
1869;"F";"NA";"vair";;;;;
1870;"F";"NA";"hermine";;;;;
1871;"E";"laine";"drap";;;;;
1872;"E";"laine";"drap";;;;;
1873;"E";"laine";"drap";;;;"Bernay";"Normandie"
1874;"E";"laine";"rayé";"rayé";"graine";;;
1875;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
1876;"E";"laine";"pers";"pers";;;;
1877;"E";"laine";"vert";"vert";;;;
1878;"E";"laine";"brunette";"noir";;;;
1879;"E";"laine";"gris";;;;;
1880;"E";"toile";"toile";"blanc";;;;
1881;"E";"toile";"toile";"rouge";;;;
1882;"M";"soie";"soie";;;;;
1883;"E";"soie";"cendal";;;;;
1884;"M";"NA";"coton";;;;;
1885;"M";"NA";"fil";"teinte";;;;
1886;"M";"soie";"fil d'or";;;;;
1887;"M";"soie";"soie";"ardent";;;;
1888;"E";"mélangé";"futaine";;;;;
1889;"E";"soie";"taffetas";;;;;
1890;"E";"soie";"cendal";"azur";;;;
